nombreDeLaCuenta,abreviatura,idDeLaCuenta,newId
Profesional Asociado en Administración de Negocios,PAAN,0013p00001sN7Zc,
Prueba,AGG,0011U00000SZ2Ud,
Licenciado en Administracion,LEA,0011U00000SZ2Tb,
Licenciado en Administracion de Empresas Acentuacion en Mercadotecnia,LAM (TSU),0011U00000SZ2Td,
Licenciado en Enfermeria,LEN,0011U00000SZ2Ts,
Licenciado en Gastronomia,LEG,0011U00000SZ2Tt,
Licenciado en Inteligencia de Mercados,LIM,0011U00000SZ2Tv,
Licenciado en Informatica Administrativa,LIA,0011U00000SZ2Tu,
Licenciado en Desarrollo Humano,LDH,0011U00000SZ2To,
Licenciado en Diseño Grafico y Animación,LDGA,0011U00000SZ2Tp,
Licenciado en Educacion,LE,0011U00000SZ2Tq,
Licenciado en Educacion y Desarrollo,LED,0011U00000SZ2Tr,
Licenciado en Psicologia Empresarial,LPE,0011U00000SZ2U1,
Licenciado en Psicologia Organizacional,LOR,0011U00000SZ2U2,
Licenciatura en Administracion Facturacion y Cobranza,LAFC,0011U00000SZ2U3,
Licenciatura en Administracion Hotelera y Turistica,LHT,0011U00000SZ2U4,
Licenciado en Capital Humano,LCH,0011U00000SZ2Tf,
Licenciado en Comercializacion y Ventas,LCV,0011U00000SZ2Tg,
Licenciado en Administracion Financiera,LAF,0011U00000SZ2Te,
Licenciado en Comercio Internacional,LCI,0011U00000SZ2Th,
Licenciado en Comercio Internacional.,LIN,0011U00000SZ2Ti,
Licenciado en Mercadotecnia,LEM,0011U00000SZ2Tw,
Licenciado en Nutricion,LNU,0011U00000SZ2Tz,
Licenciado en Mercadotecnia y Publicidad,LMP,0011U00000SZ2Tx,
Licenciado en Negocios Internacionales,LNI,0011U00000SZ2Ty,
Licenciado en Psicologia,LP,0011U00000SZ2U0,
Licenciado en Contaduria Publica y Finanzas,LCPF,0011U00000SZ2Tk,
Licenciado en Comercio y Negocios Internacionales,LCN,0011U00000SZ2Tj,
Licenciado en Creacion y Desarrollo de Empresas,LCDE,0011U00000SZ2Tl,
Licenciado en Derecho,LD,0011U00000SZ2Tm,
Licenciado en Derecho y Ciencias Juridicas,LDCJ,0011U00000SZ2Tn,
Licenciatura en Administracion Hotelera y Turistica,LHT (Inactivo),0011U00000SZ2U5,
Licenciatura en Nutricion,LNU (Inactivo),0011U00000SZ2U6,
Logistica,LOG,0011U00000SZ2U8,
Licenciatura en Psicologia Organizacional,LOR (Inactivo),0011U00000SZ2U7,
Ma Admon Neg Cal y Prod,MAC_TE,0013p000024Xv93,
Ma Admon Neg Fin,MAF_TE,0013p000024Xv94,
Metodología Básica para la Administración de Proyectos,CAP.MTAD4007.AdmProySD20,0013p000027hw0m,
Inbound Marketing (SEM),Inbound Marketing,0013p000027i9Ng,
Ing Electrica Area Medicion,IEM_TR,0013p000024Xv30,
Ing Electrica Area Ser Cliente,ISC_TR,0013p000024Xv31,
Ing en Admon de la Manuf,IAM_TR,0013p000024Xv32,
Ing en Calidad y Productiv,ICP_TR,0013p000024Xv33,
Ing en Sist de Comp Admin,ICA_TE,0013p000024Xv5K,
Ing en Admon de la Manuf,IAM_TE,0013p000024Xv5L,
Ing en Sist de Logistica,ISL_TE,0013p000024Xv5M,
Ing Industrial,IIN_TE,0013p000024Xv5N,
Ing en Sist de Comp Admin,ICA_SE,0013p000024Xv5b,
Ing Industrial,IIN_SE,0013p000024Xv5e,
Ing en Seguridad Comp,ISEC_TE,0013p000024Xv5g,
Ing en Procesos Organizacion,IPO_TE,0013p000024Xv5h,
Ing en Negocios Internac,INI_TE,0013p000024Xv5i,
Ing en Mecatronica,IMT_TE,0013p000024Xv5j,
Ing en Inteligencia Mercados,IIM_TE,0013p000024Xv5k,
Ing en Desarrollo de Software,IDS_TE,0013p000024Xv5l,
Ing Industrial y Productividad,IIYC_TM,0013p000024Xv62,
Ing en Comp Financiera,ICF_TE,0013p000024Xv5m,
Ing en Calidad y Productiv,ICP_TE,0013p000024Xv5n,
Ing Electrica Area Conduccion,IEC_TE,0013p000024Xv5p,
Ing Electrica Area Medicion,IEM_TE,0013p000024Xv5q,
Ing Indus y Sist (Cal y Prod),IIP_TE,0013p000024Xv5r,
Ing Electrica Area Ser Cliente,ISC_TE,0013p000024Xv5s,
Ing en Mecatronica,IMT_S18,0013p000024Xv6u,
Ing en Desarrollo de Software,IDS_S18,0013p000024Xv6v,
Ing Industrial,IIN_S18,0013p000024Xv6x,
Ing en Sist de Comp Admin,ICA_S18,0013p000024Xv74,
Ing Industrial y de Sist,IIS_T19,0013p000024Xv7F,
Ing en Comp Administrativa,ICD_T19,0013p000024Xv7L,
Ing Electrica Area Conduccion,IEC_TR,0013p000024Xv7t,
Ing en Comp Administrativa,ICD_TE,0013p000024Xv7u,
Ing en Indus y de Finanzas,IIF_SR,0013p000024Xv7z,
Ing en Comp Financiera,ICF_SR,0013p000024Xv7v,
Ing en Comp Financiera,ICF_TR,0013p000024Xv7w,
Ing en Desarrollo de Software,IDS_SR,0013p000024Xv7x,
Ing en Desarrollo de Software,IDS_TR,0013p000024Xv7y,
Ing en Inteligencia Mercados,IIM_TR,0013p000024Xv81,
Ing en Inteligencia Mercados,IIM_SR,0013p000024Xv80,
Ing en Mecatronica,IMT_TR,0013p000024Xv82,
Ing en Mecatronica,IMT_SR,0013p000024Xv83,
Ing en Negocios Internac,INI_SR,0013p000024Xv84,
Ing en Negocios Internac,INI_TR,0013p000024Xv85,
Ing en Procesos Organizacion,IPO_SR,0013p000024Xv86,
Ing en Procesos Organizacion,IPO_TR,0013p000024Xv87,
Ing en Seguridad Comp,ISEC_SR,0013p000024Xv88,
Ing en Seguridad Comp,ISEC_TR,0013p000024Xv89,
Ing en Sist de Comp Admin,ICA_SR,0013p000024Xv8A,
Ing en Sist de Comp Admin,ICA_TR,0013p000024Xv8B,
Ing en Sist de Logistica,ISL_TR,0013p000024Xv8E,
Ing Sis Comp Adm (Ap Internet),ICI_TR,0013p000024Xv8C,
Ing en Sist de Logistica,ISL_SR,0013p000024Xv8D,
Ing Industrial,IIN_SR,0013p000024Xv8F,
Ing Industrial,IIN_TR,0013p000024Xv8G,
Ing Industrial y de Sist,IIS_TE,0013p000024Xv8H,
Ing Industrial y de Sist,IIS_TR,0013p000024Xv8I,
Ing Indus y Sist (Cal y Prod),IIP_TR,0013p000024Xv8J,
EC0019,EC0019,0014w00002wviWK,
Maestría Tetramestral,Maestría Tetramestral,0013p000027i3CD,
Licenciatura,Licenciatura,0013p000027i3Cd,
Posgrado,Posgrado,0013p000027i3Ce,
Maestria,Maestria,0013p000027i3cD,
Especialidad,Esp,0013p000027i3cd,
Maestría,Maestría,0013p000027i3ce,
Preparatoria,Preparatoria,0013p000027i3CE,
Profesional Tetramestral,Profesional Tetramestral,0013p000027i3CG,
Profesional Ejecutivo,Profesional Ejecutivo,0013p000027i3Cg,
profesional,profesional,0013p000027i3cF,
Profesional Semestral,Profesional Semestral,0013p000027i3cG,
Preparatoria Intercultural,PI,0014w00003QHKoR,
UTEC - Ing. Electrica con Especialidad en Conduccion,IEC,0011U00000SZ2Uv,
UTEC - Ing. Electrica con Especialidad en Medicion,IEM,0011U00000SZ2Uw,
UTEC - Ing. Electrica con Especialidad en Servicio al Cliente,IES,0011U00000SZ2Ux,
UTEC - Lic. en Administracion de Empresas con especialidad en Facturacion-C,LFC,0011U00000SZ2Uy,
UTEC - Lic. en Administracion Ejecutiva de Empresas,LEE,0011U00000SZ2Uz,
Certificación de Siemens opcional(test),CERT_Siemens,0013p000027heTq,
UTEC - Lic. en Administracion Integral de Empresas,LIE,0011U00000SZ2V0,
UTEC - Lic. en Mercadotecnia especialidad en Atencion al Cliente,LMA,0011U00000SZ2V1,
Preparatoria Bilingüe,PB,0011U00000SZ2UX,
Preparatoria,PP,0011U00000SZ2UW,
Licenciado en Administracion de Empresas,LAE,0011U00000SZ2Tc,
Ciberseguridad (Mst),Ciberseguridad,0013p000027i9Ni,
Master en Inteligencia Artificial,MSIA_M21,0014w00002pOlAc,
EC0076,EC0076,0014w00002wvjUC,
Estrategias de Diseño Instruccional,EDI,0013p000027i9No,
Asesor en Estrategias de Inversión,CI,0013p000027i9Nl,
Lic en Admon y Finanzas,LAF_SR,0013p000024Xv8V,
Ma Admon Neg Fin,MAF2_TE,0013p000024Xv7i,
P A en Admon de negocios,PAAN_BI,0013p000024Xv9z,
CAPP Pre-requisitos,PREREQ,0013p000024Xv65,
Ba General Bilingue Gradual,BBG_SR,0013p000024Xv5x,
Ba General Bilingue Gradual,BBG_TR,0013p000024Xv5y,
Ba General,BAG_TR,0013p000024Xv7p,
Ba General Bilingue,BAB_TR,0013p000024Xv7q,
Ba General,BAG_SR,0013p000024Xv7r,
Ba General Bilingue,BAB_SR,0013p000024Xv7s,
Ba General,BGA_SR,0013p000024Xv9d,
Semestre Empresarial SEED,SESEED,0014w000030e3ns,
Taller 1 Servicio Social,,0014w000030e46f,
Taller 1,,0014w000030e42Z,
Taller 4,,0014w000030e47d,
Taller 5,,0014w000030e42a,
Taller 3,,0014w000030e47O,
Taller 2,,0014w000030e474,
Tetramestre Empresarial SEED,TESEED,0014w000030e3oC,
Especialidad en Aplicaciones de Educación Positiva,EAEP_R19,0014w00003UAueK,
Master en Mercadotecnia Digital,MSMD_M21,0014w00002zeBGv,
Otro Profesional Tetramestral,Otro,0011U00000SZ2UM,
Otros Maestría,Otro,0011U00000SZ2UO,
Otros Preparatoria,Otro,0011U00000SZ2UR,
Ma Admon Neg Merca,MAM2_TE,0013p000024Xv7j,
Ma Gest de TI,MTI2_TE,0013p000024Xv7l,
Ma Educacion,MED_TE,0013p000024Xv92,
Ma Admon Neg Merca,MAM_TE,0013p000024Xv95,
Ma Admon Neg Rec Hum,MAR_TE,0013p000024Xv96,
Esp Fin,MEF_TE,0013p000024Xv98,
Esp Rec Hum,MER_TE,0013p000024Xv99,
Ma Liderazgo Positivo,MLP_TE,0013p000024Xv9A,
Ma Educ y Des,MEDU_R19,0013p000024Xv7O,
Maestria Admon Area Logistica,MANL_T19,0013p000024Xv7b,
Ma Admon Neg Cal y Prod,MAC2_TE,0013p000024Xv7h,
Acuerdo 286,PA286,0011U00000SZ2RT,
Preparatoria Intercultural Bilingüe Avanzado,PIBI,0014w00003eZcId,
Licenciado en Administración y Desarrollo del Talento,LADT,0014w000038LSxl,
Máster en Finanzas,MSDF_M21,0014w00003B5g2Y,
Máster en Dirección del Capital Humano,MSCH_M21,0014w00003B5fcD,
Preparatoria Bilingüe Gradua,BGG,0011U00000SZ2UY,
Preparatoria en Linea,PP,0011U00000SZ2UZ,
Ma Gest de TI,MTI_TE,0013p000024Xv97,
Especialidad en Finanzas,EFIN,0011U00000SZ2Si,
Especialidad en Innovacion,EEIN_TR,0011U00000SZ2Sj,
Especialidad en Innovacion.,MEI_TE,0011U00000SZ2Sk,
Especialidad en Recursos Humanos,ERH,0011U00000SZ2Sl,
Otros profesional,Otro,0011U00000SZ2US,
Maestria en Educacion y Desarrollo,MEDU,0011U00000SZ2UE,
Maestria en Gestion de Tecnologias de la Informacion,MGTI,0011U00000SZ2UF,
Maestria en Educacion,ME,0011U00000SZ2UD,
Maestria en Liderazgo Positivo,MLP,0011U00000SZ2UG,
Maestria en Admon. Esp. en Calidad y Productividad,MANC,0011U00000SZ2U9,
Maestria en Admon. Esp. en Finanzas,MANF,0011U00000SZ2UA,
Maestria en Admon. Esp. en Mercadotecnia,MANM,0011U00000SZ2UB,
Maestria en Admon. Esp. en Recursos Humanos,MANR,0011U00000SZ2UC,
Máster de Programación,MSPD_M21,0014w00003N2YIS,
Preparatoria Connect,PPCNT,0014w00003RQKYc,
Green Belt,Green Belt,0013p000027i9Nk,
Ingeniero en Administracion de la Manufactura,IAM,0011U00000SZ2T3,
Ingeniero en Calidad y Productividad,ICP,0011U00000SZ2T4,
Ingeniero en Computacion Administrativa,ICD,0011U00000SZ2T5,
Ingeniero en Computacion Financiera,ICF,0011U00000SZ2T6,
Ingeniero en Desarrollo de Software,IDS,0011U00000SZ2T7,
Ingeniero en Seguridad Computacional,ISEC,0011U00000SZ2TC,
Ingeniero en Sistemas de Computacion Administrativa,ICA,0011U00000SZ2TD,
Ingeniero en Procesos Organizacionales,IPO,0011U00000SZ2TB,
Ingeniero Industrial y de Sistemas Acentuacion en Calidad y Productividad,IIP (TSU),0011U00000SZ2TJ,
Ingeniero en Inteligencia de Mercados,IIM,0011U00000SZ2T8,
Ingeniero en Mecatronica,IMT,0011U00000SZ2T9,
Ingeniero en Negocios Internacionales,INI,0011U00000SZ2TA,
Ingeniero Industrial,IIN,0011U00000SZ2TG,
Ingeniero Industrial y de Finanzas,IIF,0011U00000SZ2TH,
Ingeniero Industrial y de Sistemas,IIS,0011U00000SZ2TI,
Ingeniero en Sistemas de Logistica,ISL,0011U00000SZ2TF,
Ingeniero en Sistemas de Computacion Administrativa Acentuacion en Aplicaciones en Internet,ICI (TSU),0011U00000SZ2TE,
Yellow Belt,CAP.LSIN3009.YBSD20,0013p000027hnZo,
Test certificación Siemens,tcs,0013p000027in61,
TEST GOLIVE,TSGLI,0013p000027iTjN,
Finanzas personales (SEM),Finanzas personales,0013p000027i9NW,
Process Simulate Basics (SEM),Process Simulate Basics,0013p000027i9Nd,
Content Marketing (SEM),Content Marketing,0013p000027i9Ne,
Licenciatura en Administración de Negocios,LEA GO,0011U00000stDjW,
Licenciatura en Administración de Negocios,LAN,0011U000012fGgJ,
Lic en Derecho,LD_TE,0013p000024Xv8d,
Lic en Derecho,LD_SR,0013p000024Xv8c,
Lic en Enfermeria,LEN_TR,0013p000024Xv8n,
Lic en Educacion y Desarrollo,LED_TE,0013p000024Xv8l,
Lic en Enfermeria,LEN_SR,0013p000024Xv8m,
